nan;X;Y;X;Y;Puestos equivalentes;nan;100.0
Calle 134;33;2;34;2;26;nan;nan
Calle 135;34;2;35;2;26;nan;nan
Calle 136;35;2;36;2;26;nan;nan
Calle 137;36;2;37;2;26;nan;nan
Calle 138;37;2;38;2;26;nan;nan
Calle 139;38;2;39;2;26;nan;nan
Calle 140;39;2;40;2;26;nan;nan
Calle 141;40;2;41;2;26;nan;nan
Calle 142;41;2;42;2;26;nan;nan
Calle 143;42;2;43;2;26;nan;nan
Calle 144;43;2;44;2;26;nan;nan
Calle 145;44;2;45;2;26;nan;nan
Calle 146;45;2;46;2;26;nan;nan
Calle 147;46;2;47;2;26;nan;nan
Calle 148;47;2;48;2;26;nan;nan
Calle 149;48;2;49;2;26;nan;nan
Calle 150;49;2;50;2;26;nan;nan
Calle 151;0;3;1;3;26;nan;nan
Calle 152;1;3;2;3;26;nan;nan
Calle 153;2;3;3;3;26;nan;nan
Calle 154;3;3;4;3;26;nan;nan
Calle 155;4;3;5;3;26;nan;nan
Calle 156;5;3;6;3;26;nan;nan
Calle 157;6;3;7;3;26;nan;nan
Calle 158;7;3;8;3;26;nan;nan
Calle 159;8;3;9;3;26;nan;nan
Calle 160;9;3;10;3;26;nan;nan
Calle 161;10;3;11;3;26;nan;nan
Calle 162;11;3;12;3;26;nan;nan
Calle 163;12;3;13;3;26;nan;nan
Calle 164;13;3;14;3;26;nan;nan
Calle 165;14;3;15;3;26;nan;nan
Calle 166;15;3;16;3;26;nan;nan
Calle 167;16;3;17;3;26;nan;nan
Calle 168;17;3;18;3;26;nan;nan
Calle 169;18;3;19;3;26;nan;nan
Calle 170;19;3;20;3;26;nan;nan
Calle 171;20;3;21;3;26;nan;nan
Calle 172;21;3;22;3;26;nan;nan
Calle 173;22;3;23;3;26;nan;nan
Calle 174;23;3;24;3;26;nan;nan
Calle 175;24;3;25;3;26;nan;nan
Calle 176;25;3;26;3;26;nan;nan
Calle 177;26;3;27;3;26;nan;nan
Calle 178;27;3;28;3;26;nan;nan
Calle 179;28;3;29;3;26;nan;nan
Calle 180;29;3;30;3;26;nan;nan
Calle 181;30;3;31;3;26;nan;nan
Calle 182;31;3;32;3;26;nan;nan
Calle 183;32;3;33;3;26;nan;nan
Calle 184;33;3;34;3;26;nan;nan
Calle 185;34;3;35;3;26;nan;nan
Calle 186;35;3;36;3;26;nan;nan
Calle 187;36;3;37;3;26;nan;nan
Calle 188;37;3;38;3;26;nan;nan
Calle 189;38;3;39;3;26;nan;nan
Calle 190;39;3;40;3;26;nan;nan
Calle 191;40;3;41;3;26;nan;nan
Calle 192;41;3;42;3;26;nan;nan
Calle 193;42;3;43;3;26;nan;nan
Calle 194;43;3;44;3;26;nan;nan
Calle 195;44;3;45;3;26;nan;nan
Calle 196;45;3;46;3;26;nan;nan
Calle 197;46;3;47;3;26;nan;nan
Calle 198;47;3;48;3;26;nan;nan
Calle 199;48;3;49;3;26;nan;nan
Calle 200;49;3;50;3;26;nan;nan
Calle 201;0;4;1;4;26;nan;nan
Calle 202;1;4;2;4;26;nan;nan
Calle 203;2;4;3;4;26;nan;nan
Calle 204;3;4;4;4;26;nan;nan
Calle 205;4;4;5;4;26;nan;nan
Calle 206;5;4;6;4;26;nan;nan
Calle 207;6;4;7;4;26;nan;nan
Calle 208;7;4;8;4;26;nan;nan
Calle 209;8;4;9;4;26;nan;nan
Calle 210;9;4;10;4;26;nan;nan
Calle 211;10;4;11;4;26;nan;nan
Calle 212;11;4;12;4;26;nan;nan
Calle 213;12;4;13;4;26;nan;nan
Calle 214;13;4;14;4;26;nan;nan
Calle 215;14;4;15;4;26;nan;nan
Calle 216;15;4;16;4;26;nan;nan
Calle 217;16;4;17;4;26;nan;nan
Calle 218;17;4;18;4;26;nan;nan
Calle 219;18;4;19;4;26;nan;nan
Calle 220;19;4;20;4;26;nan;nan
Calle 221;20;4;21;4;26;nan;nan
Calle 222;21;4;22;4;26;nan;nan
Calle 223;22;4;23;4;26;nan;nan
Calle 224;23;4;24;4;26;nan;nan
Calle 225;24;4;25;4;26;nan;nan
Calle 226;25;4;26;4;26;nan;nan
Calle 227;26;4;27;4;26;nan;nan
Calle 228;27;4;28;4;26;nan;nan
Calle 229;28;4;29;4;26;nan;nan
Calle 230;29;4;30;4;26;nan;nan
Calle 231;30;4;31;4;26;nan;nan
Calle 232;31;4;32;4;26;nan;nan
Calle 233;32;4;33;4;26;nan;nan
Calle 234;33;4;34;4;26;nan;nan
Calle 235;34;4;35;4;26;nan;nan
Calle 236;35;4;36;4;26;nan;nan
Calle 237;36;4;37;4;26;nan;nan
Calle 238;37;4;38;4;26;nan;nan
Calle 239;38;4;39;4;26;nan;nan
Calle 240;39;4;40;4;26;nan;nan
Calle 241;40;4;41;4;26;nan;nan
Calle 242;41;4;42;4;26;nan;nan
Calle 243;42;4;43;4;26;nan;nan
Calle 244;43;4;44;4;26;nan;nan
Calle 245;44;4;45;4;26;nan;nan
Calle 246;45;4;46;4;26;nan;nan
Calle 247;46;4;47;4;26;nan;nan
Calle 248;47;4;48;4;26;nan;nan
Calle 249;48;4;49;4;26;nan;nan
Calle 250;49;4;50;4;26;nan;nan
Calle 251;0;5;1;5;26;nan;nan
Calle 252;1;5;2;5;26;nan;nan
Calle 253;2;5;3;5;26;nan;nan
Calle 254;3;5;4;5;26;nan;nan
Calle 255;4;5;5;5;26;nan;nan
Calle 256;5;5;6;5;26;nan;nan
Calle 257;6;5;7;5;26;nan;nan
Calle 258;7;5;8;5;26;nan;nan
Calle 259;8;5;9;5;26;nan;nan
Calle 260;9;5;10;5;26;nan;nan
Calle 261;10;5;11;5;26;nan;nan
Calle 262;11;5;12;5;26;nan;nan
Calle 263;12;5;13;5;26;nan;nan
Calle 264;13;5;14;5;26;nan;nan
Calle 265;14;5;15;5;26;nan;nan
Calle 266;15;5;16;5;26;nan;nan
Calle 267;16;5;17;5;26;nan;nan
Calle 268;17;5;18;5;26;nan;nan
Calle 269;18;5;19;5;26;nan;nan
Calle 270;19;5;20;5;26;nan;nan
Calle 271;20;5;21;5;26;nan;nan
Calle 272;21;5;22;5;26;nan;nan
Calle 273;22;5;23;5;26;nan;nan
Calle 274;23;5;24;5;26;nan;nan
Calle 275;24;5;25;5;26;nan;nan
Calle 276;25;5;26;5;26;nan;nan
Calle 277;26;5;27;5;26;nan;nan
Calle 278;27;5;28;5;26;nan;nan
Calle 279;28;5;29;5;26;nan;nan
Calle 280;29;5;30;5;26;nan;nan
Calle 281;30;5;31;5;26;nan;nan
Calle 282;31;5;32;5;26;nan;nan
Calle 283;32;5;33;5;26;nan;nan
Calle 284;33;5;34;5;26;nan;nan
Calle 285;34;5;35;5;26;nan;nan
Calle 286;35;5;36;5;26;nan;nan
Calle 287;36;5;37;5;26;nan;nan
Calle 288;37;5;38;5;26;nan;nan
Calle 289;38;5;39;5;26;nan;nan
Calle 290;39;5;40;5;26;nan;nan
Calle 291;40;5;41;5;26;nan;nan
Calle 292;41;5;42;5;26;nan;nan
Calle 293;42;5;43;5;26;nan;nan
Calle 294;43;5;44;5;26;nan;nan
Calle 295;44;5;45;5;26;nan;nan
Calle 296;45;5;46;5;26;nan;nan
Calle 297;46;5;47;5;26;nan;nan
Calle 298;47;5;48;5;26;nan;nan
Calle 299;48;5;49;5;26;nan;nan
Calle 300;49;5;50;5;26;nan;nan
Calle 301;0;6;1;6;26;nan;nan
Calle 302;1;6;2;6;26;nan;nan
Calle 303;2;6;3;6;26;nan;nan
Calle 304;3;6;4;6;26;nan;nan
Calle 305;4;6;5;6;26;nan;nan
Calle 306;5;6;6;6;26;nan;nan
Calle 307;6;6;7;6;26;nan;nan
Calle 308;7;6;8;6;26;nan;nan
Calle 309;8;6;9;6;26;nan;nan
Calle 310;9;6;10;6;26;nan;nan
Calle 311;10;6;11;6;26;nan;nan
Calle 312;11;6;12;6;26;nan;nan
Calle 313;12;6;13;6;26;nan;nan
Calle 314;13;6;14;6;26;nan;nan
Calle 315;14;6;15;6;26;nan;nan
Calle 316;15;6;16;6;26;nan;nan
Calle 317;16;6;17;6;26;nan;nan
Calle 318;17;6;18;6;26;nan;nan
Calle 319;18;6;19;6;26;nan;nan
Calle 320;19;6;20;6;26;nan;nan
Calle 321;20;6;21;6;26;nan;nan
Calle 322;21;6;22;6;26;nan;nan
Calle 323;22;6;23;6;26;nan;nan
Calle 324;23;6;24;6;26;nan;nan
Calle 325;24;6;25;6;26;nan;nan
Calle 326;25;6;26;6;26;nan;nan
Calle 327;26;6;27;6;26;nan;nan
Calle 328;27;6;28;6;26;nan;nan
Calle 329;28;6;29;6;26;nan;nan
Calle 330;29;6;30;6;26;nan;nan
Calle 331;30;6;31;6;26;nan;nan
Calle 332;31;6;32;6;26;nan;nan
Calle 333;32;6;33;6;26;nan;nan
Calle 334;33;6;34;6;26;nan;nan
Calle 335;34;6;35;6;26;nan;nan
Calle 336;35;6;36;6;26;nan;nan
Calle 337;36;6;37;6;26;nan;nan
Calle 338;37;6;38;6;26;nan;nan
Calle 339;38;6;39;6;26;nan;nan
Calle 340;39;6;40;6;26;nan;nan
Calle 341;40;6;41;6;26;nan;nan
Calle 342;41;6;42;6;26;nan;nan
Calle 343;42;6;43;6;26;nan;nan
Calle 344;43;6;44;6;26;nan;nan
Calle 345;44;6;45;6;26;nan;nan
Calle 346;45;6;46;6;26;nan;nan
Calle 347;46;6;47;6;26;nan;nan
Calle 348;47;6;48;6;26;nan;nan
Calle 349;48;6;49;6;26;nan;nan
Calle 350;49;6;50;6;26;nan;nan
Calle 351;0;7;1;7;26;nan;nan
Calle 352;1;7;2;7;26;nan;nan
Calle 353;2;7;3;7;26;nan;nan
Calle 354;3;7;4;7;26;nan;nan
Calle 355;4;7;5;7;26;nan;nan
Calle 356;5;7;6;7;26;nan;nan
Calle 357;6;7;7;7;26;nan;nan
Calle 358;7;7;8;7;26;nan;nan
Calle 359;8;7;9;7;26;nan;nan
Calle 360;9;7;10;7;26;nan;nan
Calle 361;10;7;11;7;26;nan;nan
Calle 362;11;7;12;7;26;nan;nan
Calle 363;12;7;13;7;26;nan;nan
Calle 364;13;7;14;7;26;nan;nan
Calle 365;14;7;15;7;26;nan;nan
Calle 366;15;7;16;7;26;nan;nan
Calle 367;16;7;17;7;26;nan;nan
Calle 368;17;7;18;7;26;nan;nan
Calle 369;18;7;19;7;26;nan;nan
Calle 370;19;7;20;7;26;nan;nan
Calle 371;20;7;21;7;26;nan;nan
Calle 372;21;7;22;7;26;nan;nan
Calle 373;22;7;23;7;26;nan;nan
Calle 374;23;7;24;7;26;nan;nan
Calle 375;24;7;25;7;26;nan;nan
Calle 376;25;7;26;7;26;nan;nan
Calle 377;26;7;27;7;26;nan;nan
Calle 378;27;7;28;7;26;nan;nan
Calle 379;28;7;29;7;26;nan;nan
Calle 380;29;7;30;7;26;nan;nan
Calle 381;30;7;31;7;26;nan;nan
Calle 382;31;7;32;7;26;nan;nan
Calle 383;32;7;33;7;26;nan;nan
Calle 384;33;7;34;7;26;nan;nan
Calle 385;34;7;35;7;26;nan;nan
Calle 386;35;7;36;7;26;nan;nan
Calle 387;36;7;37;7;26;nan;nan
Calle 388;37;7;38;7;26;nan;nan
Calle 389;38;7;39;7;26;nan;nan
Calle 390;39;7;40;7;26;nan;nan
Calle 391;40;7;41;7;26;nan;nan
Calle 392;41;7;42;7;26;nan;nan
Calle 393;42;7;43;7;26;nan;nan
Calle 394;43;7;44;7;26;nan;nan
Calle 395;44;7;45;7;26;nan;nan
Calle 396;45;7;46;7;26;nan;nan
Calle 397;46;7;47;7;26;nan;nan
Calle 398;47;7;48;7;26;nan;nan
Calle 399;48;7;49;7;26;nan;nan
Calle 400;49;7;50;7;26;nan;nan
Calle 401;0;8;1;8;26;nan;nan
Calle 402;1;8;2;8;26;nan;nan
Calle 403;2;8;3;8;26;nan;nan
Calle 404;3;8;4;8;26;nan;nan
Calle 405;4;8;5;8;26;nan;nan
Calle 406;5;8;6;8;26;nan;nan
Calle 407;6;8;7;8;26;nan;nan
Calle 408;7;8;8;8;26;nan;nan
Calle 409;8;8;9;8;26;nan;nan
Calle 410;9;8;10;8;26;nan;nan
Calle 411;10;8;11;8;26;nan;nan
Calle 412;11;8;12;8;26;nan;nan
Calle 413;12;8;13;8;26;nan;nan
Calle 414;13;8;14;8;26;nan;nan
Calle 415;14;8;15;8;26;nan;nan
Calle 416;15;8;16;8;26;nan;nan
Calle 417;16;8;17;8;26;nan;nan
Calle 418;17;8;18;8;26;nan;nan
Calle 419;18;8;19;8;26;nan;nan
Calle 420;19;8;20;8;26;nan;nan
Calle 421;20;8;21;8;26;nan;nan
Calle 422;21;8;22;8;26;nan;nan
Calle 423;22;8;23;8;26;nan;nan
Calle 424;23;8;24;8;26;nan;nan
Calle 425;24;8;25;8;26;nan;nan
Calle 426;25;8;26;8;26;nan;nan
Calle 427;26;8;27;8;26;nan;nan
Calle 428;27;8;28;8;26;nan;nan
Calle 429;28;8;29;8;26;nan;nan
Calle 430;29;8;30;8;26;nan;nan
Calle 431;30;8;31;8;26;nan;nan
Calle 432;31;8;32;8;26;nan;nan
Calle 433;32;8;33;8;26;nan;nan
Calle 434;33;8;34;8;26;nan;nan
Calle 435;34;8;35;8;26;nan;nan
Calle 436;35;8;36;8;26;nan;nan
Calle 437;36;8;37;8;26;nan;nan
Calle 438;37;8;38;8;26;nan;nan
Calle 439;38;8;39;8;26;nan;nan
Calle 440;39;8;40;8;26;nan;nan
Calle 441;40;8;41;8;26;nan;nan
Calle 442;41;8;42;8;26;nan;nan
Calle 443;42;8;43;8;26;nan;nan
Calle 444;43;8;44;8;26;nan;nan
Calle 445;44;8;45;8;26;nan;nan
Calle 446;45;8;46;8;26;nan;nan
Calle 447;46;8;47;8;26;nan;nan
Calle 448;47;8;48;8;26;nan;nan
Calle 449;48;8;49;8;26;nan;nan
Calle 450;49;8;50;8;26;nan;nan
Calle 451;0;9;1;9;26;nan;nan
Calle 452;1;9;2;9;26;nan;nan
Calle 453;2;9;3;9;26;nan;nan
Calle 454;3;9;4;9;26;nan;nan
Calle 455;4;9;5;9;26;nan;nan
Calle 456;5;9;6;9;26;nan;nan
Calle 457;6;9;7;9;26;nan;nan
Calle 458;7;9;8;9;26;nan;nan
Calle 459;8;9;9;9;26;nan;nan
Calle 460;9;9;10;9;26;nan;nan
Calle 461;10;9;11;9;26;nan;nan
Calle 462;11;9;12;9;26;nan;nan
Calle 463;12;9;13;9;26;nan;nan
Calle 464;13;9;14;9;26;nan;nan
Calle 465;14;9;15;9;26;nan;nan
Calle 466;15;9;16;9;26;nan;nan
Calle 467;16;9;17;9;26;nan;nan
Calle 468;17;9;18;9;26;nan;nan
Calle 469;18;9;19;9;26;nan;nan
Calle 470;19;9;20;9;26;nan;nan
Calle 471;20;9;21;9;26;nan;nan
Calle 472;21;9;22;9;26;nan;nan
Calle 473;22;9;23;9;26;nan;nan
Calle 474;23;9;24;9;26;nan;nan
Calle 475;24;9;25;9;26;nan;nan
Calle 476;25;9;26;9;26;nan;nan
Calle 477;26;9;27;9;26;nan;nan
Calle 478;27;9;28;9;26;nan;nan
Calle 479;28;9;29;9;26;nan;nan
Calle 480;29;9;30;9;26;nan;nan
Calle 481;30;9;31;9;26;nan;nan
Calle 482;31;9;32;9;26;nan;nan
Calle 483;32;9;33;9;26;nan;nan
Calle 484;33;9;34;9;26;nan;nan
Calle 485;34;9;35;9;26;nan;nan
Calle 486;35;9;36;9;26;nan;nan
Calle 487;36;9;37;9;26;nan;nan
Calle 488;37;9;38;9;26;nan;nan
Calle 489;38;9;39;9;26;nan;nan
Calle 490;39;9;40;9;26;nan;nan
Calle 491;40;9;41;9;26;nan;nan
Calle 492;41;9;42;9;26;nan;nan
Calle 493;42;9;43;9;26;nan;nan
Calle 494;43;9;44;9;26;nan;nan
Calle 495;44;9;45;9;26;nan;nan
Calle 496;45;9;46;9;26;nan;nan
Calle 497;46;9;47;9;26;nan;nan
Calle 498;47;9;48;9;26;nan;nan
Calle 499;48;9;49;9;26;nan;nan
Calle 500;49;9;50;9;26;nan;nan
Calle 501;0;10;1;10;26;nan;nan
Calle 502;1;10;2;10;26;nan;nan
Calle 503;2;10;3;10;26;nan;nan
Calle 504;3;10;4;10;26;nan;nan
Calle 505;4;10;5;10;26;nan;nan
Calle 506;5;10;6;10;26;nan;nan
Calle 507;6;10;7;10;26;nan;nan
Calle 508;7;10;8;10;26;nan;nan
Calle 509;8;10;9;10;26;nan;nan
Calle 510;9;10;10;10;26;nan;nan
Calle 511;10;10;11;10;26;nan;nan
Calle 512;11;10;12;10;26;nan;nan
Calle 513;12;10;13;10;26;nan;nan
Calle 514;13;10;14;10;26;nan;nan
Calle 515;14;10;15;10;26;nan;nan
Calle 516;15;10;16;10;26;nan;nan
Calle 517;16;10;17;10;26;nan;nan
Calle 518;17;10;18;10;26;nan;nan
Calle 519;18;10;19;10;26;nan;nan
Calle 520;19;10;20;10;26;nan;nan
Calle 521;20;10;21;10;26;nan;nan
Calle 522;21;10;22;10;26;nan;nan
Calle 523;22;10;23;10;26;nan;nan
Calle 524;23;10;24;10;26;nan;nan
Calle 525;24;10;25;10;26;nan;nan
Calle 526;25;10;26;10;26;nan;nan
Calle 527;26;10;27;10;26;nan;nan
Calle 528;27;10;28;10;26;nan;nan
Calle 529;28;10;29;10;26;nan;nan
Calle 530;29;10;30;10;26;nan;nan
Calle 531;30;10;31;10;26;nan;nan
Calle 532;31;10;32;10;26;nan;nan
Calle 533;32;10;33;10;26;nan;nan
Calle 534;33;10;34;10;26;nan;nan
Calle 535;34;10;35;10;26;nan;nan
Calle 536;35;10;36;10;26;nan;nan
Calle 537;36;10;37;10;26;nan;nan
Calle 538;37;10;38;10;26;nan;nan
Calle 539;38;10;39;10;26;nan;nan
Calle 540;39;10;40;10;26;nan;nan
Calle 541;40;10;41;10;26;nan;nan
Calle 542;41;10;42;10;26;nan;nan
Calle 543;42;10;43;10;26;nan;nan
Calle 544;43;10;44;10;26;nan;nan
Calle 545;44;10;45;10;26;nan;nan
Calle 546;45;10;46;10;26;nan;nan
Calle 547;46;10;47;10;26;nan;nan
Calle 548;47;10;48;10;26;nan;nan
Calle 549;48;10;49;10;26;nan;nan
Calle 550;49;10;50;10;26;nan;nan
Calle 551;0;11;1;11;26;nan;nan
Calle 552;1;11;2;11;26;nan;nan
Calle 553;2;11;3;11;26;nan;nan
Calle 554;3;11;4;11;26;nan;nan
Calle 555;4;11;5;11;26;nan;nan
Calle 556;5;11;6;11;26;nan;nan
Calle 557;6;11;7;11;26;nan;nan
Calle 558;7;11;8;11;26;nan;nan
Calle 559;8;11;9;11;26;nan;nan
Calle 560;9;11;10;11;26;nan;nan
Calle 561;10;11;11;11;26;nan;nan
Calle 562;11;11;12;11;26;nan;nan
Calle 563;12;11;13;11;26;nan;nan
Calle 564;13;11;14;11;26;nan;nan
Calle 565;14;11;15;11;26;nan;nan
Calle 566;15;11;16;11;26;nan;nan
Calle 567;16;11;17;11;26;nan;nan
Calle 568;17;11;18;11;26;nan;nan
Calle 569;18;11;19;11;26;nan;nan
Calle 570;19;11;20;11;26;nan;nan
Calle 571;20;11;21;11;26;nan;nan
Calle 572;21;11;22;11;26;nan;nan
Calle 573;22;11;23;11;26;nan;nan
Calle 574;23;11;24;11;26;nan;nan
Calle 575;24;11;25;11;26;nan;nan
Calle 576;25;11;26;11;26;nan;nan
Calle 577;26;11;27;11;26;nan;nan
Calle 578;27;11;28;11;26;nan;nan
Calle 579;28;11;29;11;26;nan;nan
Calle 580;29;11;30;11;26;nan;nan
Calle 581;30;11;31;11;26;nan;nan
Calle 582;31;11;32;11;26;nan;nan
Calle 583;32;11;33;11;26;nan;nan
Calle 584;33;11;34;11;26;nan;nan
Calle 585;34;11;35;11;26;nan;nan
Calle 586;35;11;36;11;26;nan;nan
Calle 587;36;11;37;11;26;nan;nan
Calle 588;37;11;38;11;26;nan;nan
Calle 589;38;11;39;11;26;nan;nan
Calle 590;39;11;40;11;26;nan;nan
Calle 591;40;11;41;11;26;nan;nan
Calle 592;41;11;42;11;26;nan;nan
Calle 593;42;11;43;11;26;nan;nan
Calle 594;43;11;44;11;26;nan;nan
Calle 595;44;11;45;11;26;nan;nan
Calle 596;45;11;46;11;26;nan;nan
Calle 597;46;11;47;11;26;nan;nan
Calle 598;47;11;48;11;26;nan;nan
Calle 599;48;11;49;11;26;nan;nan
Calle 600;49;11;50;11;26;nan;nan
Calle 601;0;12;1;12;26;nan;nan
Calle 602;1;12;2;12;26;nan;nan
Calle 603;2;12;3;12;26;nan;nan
Calle 604;3;12;4;12;26;nan;nan
Calle 605;4;12;5;12;26;nan;nan
Calle 606;5;12;6;12;26;nan;nan
Calle 607;6;12;7;12;26;nan;nan
Calle 608;7;12;8;12;26;nan;nan
Calle 609;8;12;9;12;26;nan;nan
Calle 610;9;12;10;12;26;nan;nan
Calle 611;10;12;11;12;26;nan;nan
Calle 612;11;12;12;12;26;nan;nan
Calle 613;12;12;13;12;26;nan;nan
Calle 614;13;12;14;12;26;nan;nan
Calle 615;14;12;15;12;26;nan;nan
Calle 616;15;12;16;12;26;nan;nan
Calle 617;16;12;17;12;26;nan;nan
Calle 618;17;12;18;12;26;nan;nan
Calle 619;18;12;19;12;26;nan;nan
Calle 620;19;12;20;12;26;nan;nan
Calle 621;20;12;21;12;26;nan;nan
Calle 622;21;12;22;12;26;nan;nan
Calle 623;22;12;23;12;26;nan;nan
Calle 624;23;12;24;12;26;nan;nan
Calle 625;24;12;25;12;26;nan;nan
Calle 626;25;12;26;12;26;nan;nan
Calle 627;26;12;27;12;26;nan;nan
Calle 628;27;12;28;12;26;nan;nan
Calle 629;28;12;29;12;26;nan;nan
Calle 630;29;12;30;12;26;nan;nan
Calle 631;30;12;31;12;26;nan;nan
Calle 632;31;12;32;12;26;nan;nan
Calle 633;32;12;33;12;26;nan;nan
