Día;Calle;Verdulería;Carnicería;Frutería;Pescadería;Huevería;Abarrotes;Florería;Ropa;Mascotería;Bazar
1;Calle 75;22599;23720;20462;11183;4960;31013;4182;8307;11468;5345
1;Calle 76;22352;23935;17369;12435;4700;29909;4346;9494;11377;5035
1;Calle 77;19137;26277;17427;11474;5155;26134;4005;10342;11207;4702
1;Calle 78;22008;23394;18151;10342;4726;28926;4195;10624;11675;5159
1;Calle 79;18975;25463;19939;10681;4927;26328;4333;9487;10441;5489
1;Calle 80;20221;26650;17425;11179;5236;29386;3837;10792;11946;4698
1;Calle 81;19315;23727;18381;11251;5330;27422;4117;10248;10595;4936
1;Calle 82;21308;25648;19915;12303;4704;29094;4160;9770;8259;4872
1;Calle 83;20697;25237;19568;11770;4642;30117;3935;9251;11559;5285
1;Calle 84;22101;24953;20890;10497;5080;27341;3954;8814;10658;5188
1;Calle 85;21396;23233;18632;11448;5554;28062;4237;9467;9787;4803
1;Calle 86;20045;25718;20607;10894;5442;30527;4359;8958;11403;5028
1;Calle 87;23344;22937;19678;10732;5046;24532;3940;9442;9927;5361
1;Calle 88;20340;23623;19197;11175;5074;28594;3679;9542;12248;4876
1;Calle 89;20886;24364;17815;12292;5129;27041;4253;9431;10595;5062
1;Calle 90;21852;23963;18606;12013;4855;30119;4475;9495;10581;5551
1;Calle 91;18085;22984;20506;11470;4270;30684;4157;9952;10080;4644
1;Calle 92;23929;28047;20563;11777;5203;29402;4088;8916;12079;4959
1;Calle 93;21436;26312;19442;12700;5277;26610;4280;8853;14110;5002
1;Calle 94;20699;26097;23298;12173;4976;39647;3755;9504;10726;4686
1;Calle 95;21795;24814;18553;11339;5080;28304;4305;10061;12082;5033
1;Calle 96;19593;22498;16079;12314;5007;28578;4113;10086;11109;4838
1;Calle 97;22131;27290;19628;11426;5245;25099;3677;9429;11667;6348
1;Calle 98;19556;20087;18915;10929;4343;32413;4080;9283;11098;4876
1;Calle 99;23591;18649;20494;11646;5644;25143;4123;10262;11084;4876
1;Calle 100;18700;24921;19098;10464;5280;31245;4260;9356;11033;5252
1;Calle 101;24632;22812;21106;12330;5016;30853;1606;8968;11779;5474
1;Calle 102;19162;25032;18374;12203;5720;27357;4163;8762;11996;4875
1;Calle 103;22571;24539;20118;12678;5635;30117;4152;9424;12394;5836
1;Calle 104;20457;24278;19739;11492;5375;28957;3954;9215;10517;4717
1;Calle 105;20501;22814;19260;9804;5014;29878;4134;9327;11366;5412
1;Calle 106;20782;23712;20762;13437;5456;32122;4233;9080;12079;5554
1;Calle 107;20954;32254;18989;11018;5512;24948;4251;9704;11628;5166
1;Calle 108;21061;25924;23039;11293;4241;28644;4382;9156;11587;4762
1;Calle 109;21050;29347;21310;11137;5128;22683;4106;8901;13536;5947
1;Calle 110;22035;25496;19671;11404;4664;32018;2968;9882;11668;5325
1;Calle 111;18660;24968;20504;11532;4725;27825;3682;9041;9164;5398
1;Calle 112;17741;24909;20015;9673;5911;27606;4218;9049;11994;4866
1;Calle 113;21108;24771;23227;11864;5255;28418;3886;9950;11389;4752
1;Calle 114;19396;23608;17778;10193;5102;30249;4692;8578;11526;4745
1;Calle 115;22069;23429;20988;11484;5157;28985;4445;8682;11719;5413
1;Calle 116;19310;24505;20513;11212;5126;30415;4413;9214;10878;5063
1;Calle 117;21029;27175;19353;12428;4751;28141;4573;8538;11956;5259
1;Calle 118;21681;23679;22100;10792;5491;30890;3942;8114;11530;4831
1;Calle 119;22183;22763;18131;13177;5366;27189;3720;9485;10399;4279
1;Calle 120;21570;25946;19527;10674;4621;27823;3982;8869;10632;5201
1;Calle 121;19975;24818;17287;12102;5260;30463;4220;9801;11973;5227
1;Calle 122;22862;25042;18477;11707;6253;31265;3978;8980;11639;4874
1;Calle 123;21024;26019;20380;12173;4901;29744;3966;13280;10701;5031
1;Calle 124;19999;24838;19593;11386;5134;33965;3797;9065;11550;4920
1;Calle 125;19123;25202;19447;10360;5298;28489;4357;9081;10835;5170
1;Calle 126;21276;26091;20251;10009;4765;26258;4564;9227;11154;4887
1;Calle 127;21660;25375;20418;11433;4175;30651;3075;9382;12167;5166
1;Calle 128;20573;22872;19944;11371;4790;27437;4167;8955;11866;5070
1;Calle 129;20438;21668;21228;12587;5095;28999;3532;8140;11103;5760
1;Calle 130;20075;23764;19601;10928;5299;28428;3907;9181;13030;5295
1;Calle 131;22657;22833;19369;13167;5121;28060;5004;10549;11667;4776
1;Calle 132;19589;22951;18819;10549;5200;26975;4222;9326;11370;4540
1;Calle 133;23842;22947;18782;12533;5469;31577;4393;9531;11363;5192
1;Calle 134;21499;24459;18708;10031;5011;29905;4128;10002;11163;4311
1;Calle 135;19037;24809;17101;11938;5362;32473;4397;9709;11078;5674
1;Calle 136;20476;22337;18101;11168;5341;29852;4419;8988;10453;5405
1;Calle 137;19813;23144;21433;11603;5199;26698;4068;9846;12696;5742
1;Calle 138;22025;23448;20585;10976;5019;29459;4231;9547;11677;4554
1;Calle 139;19881;26824;17057;12909;4935;32109;3773;9658;10237;5250
1;Calle 140;22575;23523;20727;12912;5272;31761;3659;8800;11208;5492
1;Calle 141;23290;24183;19996;10624;4838;29577;3818;10039;9456;4220
1;Calle 142;22565;24659;19625;10224;5045;26499;4256;10092;11797;5577
1;Calle 143;25259;16661;19401;11873;5333;26414;4793;10845;11844;5271
1;Calle 144;20957;25717;18505;11535;5184;30019;3771;10549;10826;5185
1;Calle 145;22542;27185;19550;12407;4761;28778;4164;9620;11286;4681
1;Calle 146;21421;22940;20913;11326;5492;26896;3997;9209;10324;4832
1;Calle 147;19947;23763;23928;13590;5465;29438;3887;9687;12584;4923
1;Calle 148;20632;24579;22083;12579;5180;30122;4320;9246;10242;5102
1;Calle 149;21047;24384;16552;10977;5079;31743;3726;9066;10913;5342
1;Calle 150;20644;23436;21004;10810;4986;29473;4202;9385;11783;4932
1;Calle 151;19836;23863;18603;11797;5208;28544;3892;8556;10715;5967
1;Calle 152;19743;22924;20218;11615;5507;29343;4024;8170;9365;5330
1;Calle 153;20550;24246;20069;12205;4399;29926;4185;9415;10481;5357
1;Calle 154;20846;25897;20047;12178;4931;26878;3901;9767;12422;4947
1;Calle 155;21737;21302;17020;11770;5278;26759;4042;8439;10742;5232
1;Calle 156;20484;23646;19575;11700;5438;29143;3534;9304;10683;5311
1;Calle 157;20023;24415;19907;11043;4467;30103;4167;9293;11040;5355
1;Calle 158;20544;23819;21195;12847;4203;30904;4196;11571;10827;5320
1;Calle 159;22029;23552;17435;10784;5259;26464;4177;9509;11905;5317
1;Calle 160;21295;23981;19054;11964;5286;28562;3863;9666;11918;5020
1;Calle 161;24234;29185;21780;11859;5136;23767;4033;10428;11913;5692
1;Calle 162;21873;23726;18694;10658;5221;29274;4018;9074;12781;5360
1;Calle 163;23358;23655;17959;11359;4626;28632;4084;9712;11250;5011
1;Calle 164;19966;23942;18544;11437;4825;27231;4421;9419;11319;4855
1;Calle 165;23290;25065;20903;11632;5523;28180;3852;10314;10770;5492
1;Calle 166;19695;23608;21399;13088;4252;28057;3872;9463;13184;5441
1;Calle 167;22324;25326;18456;11869;4863;34421;4124;9487;10391;5218
1;Calle 168;20832;26600;19953;10795;5204;28559;3924;10128;9591;5226
1;Calle 169;18356;22904;19577;11468;5733;29860;3968;10308;11292;5338
1;Calle 170;20582;23607;20933;10996;5180;31490;4009;9634;10908;4899
1;Calle 171;21690;23057;18049;11743;5230;32006;3840;10082;10270;5925
1;Calle 172;20034;22095;22672;12312;5012;27784;4050;9917;12050;5712
1;Calle 173;19921;24632;21545;10867;4327;30254;3712;9462;11409;6286
1;Calle 174;20578;26806;21313;11265;5152;27617;4081;9592;13133;4681
1;Calle 175;21537;26570;19321;11063;5363;30733;3769;10811;12554;5633
1;Calle 176;18789;24866;19091;11597;5362;27662;4201;10396;11268;5336
1;Calle 177;22293;20691;21493;11088;5142;29745;3534;10066;11336;5422
1;Calle 178;19246;26524;18717;10998;4927;27252;3496;9291;11410;5541
1;Calle 179;22354;22748;20831;8796;4297;27948;3816;8972;11493;5238
1;Calle 180;21062;26154;21786;12290;4777;32313;3246;10901;11285;5306
1;Calle 181;19332;26487;18672;10711;6419;29306;4181;7863;10471;4996
1;Calle 182;20148;26480;18991;11323;5055;26364;4247;8997;10466;4943
1;Calle 183;20152;23714;20114;10879;5267;30559;4204;8620;11589;5697
1;Calle 184;20497;26268;21416;10397;5465;28161;4332;9464;10309;5353
1;Calle 185;22394;25363;20971;12917;4251;28121;4181;9745;12594;5637
1;Calle 186;20455;25580;18935;13312;4793;27403;4304;9248;13000;4926
1;Calle 187;21675;23076;19282;11315;5025;30112;4194;9305;11031;6029
1;Calle 188;20661;25493;18555;12104;4972;23337;4543;9036;9949;1476
1;Calle 189;21425;24475;21086;12199;4874;27781;4424;9400;11872;4992
1;Calle 190;22005;24325;20297;9451;5091;26470;4577;9529;11579;4997
1;Calle 191;21250;22615;21039;11569;5815;25942;3552;9400;10476;5092
1;Calle 192;16980;25958;20392;11126;5020;24718;4188;9687;11226;5107
1;Calle 193;21100;25556;20647;12066;5139;31499;4151;10113;10845;5217
1;Calle 194;21593;24473;21259;9661;4570;27762;4027;9376;10584;5540
1;Calle 195;19711;23251;20238;10898;5169;29699;3922;9660;10775;5424
1;Calle 196;20140;23461;19968;10733;5687;29066;4204;8870;11039;5037
1;Calle 197;21726;25333;19703;11912;5288;29722;3836;9167;12280;5368
1;Calle 198;22407;27488;20799;12142;5522;27801;3573;9520;11130;4843
1;Calle 199;20307;25227;20995;12133;5133;29670;4466;11429;11086;4769
1;Calle 200;22865;25597;20543;11913;5148;31189;4012;9443;10445;5080
1;Calle 201;18941;24084;19934;10843;4617;30534;3891;8422;12628;5087
1;Calle 202;20851;23212;22764;11435;4937;28111;4171;9790;11823;4610
1;Calle 203;22201;23880;20229;12470;5120;29367;4417;9610;10160;5425
1;Calle 204;19884;25593;18230;11462;5314;31221;4011;10486;11724;5428
1;Calle 205;19326;24361;20453;13209;4980;28182;3924;9027;11586;5342
1;Calle 206;21135;24678;20173;10787;5099;29917;3827;9865;11564;5011
1;Calle 207;19208;23373;20425;11884;4670;28212;4114;9223;12390;5181
1;Calle 208;19750;22560;20782;10288;5077;28841;3838;9282;13096;5081
1;Calle 209;22139;22501;20359;10434;5092;28388;4457;9811;12936;5213
1;Calle 210;22954;27516;19223;10516;5115;28468;3142;11285;11641;5407
1;Calle 211;19134;25675;19676;11748;5147;30170;4189;12973;12075;5393
1;Calle 212;20617;24378;19589;11265;5753;30214;4166;9378;11745;4886
1;Calle 213;18520;25228;19777;9958;4225;25523;3720;10852;11220;5950
1;Calle 214;19058;23491;18718;10893;4823;29183;4042;8078;11115;5398
1;Calle 215;21796;25344;20024;9949;5161;31376;4013;9999;10788;5001
1;Calle 216;19830;25746;18103;10387;4833;29045;3773;8432;11161;5249
1;Calle 217;21603;27629;19085;12107;5154;28255;4033;9395;10909;5202
1;Calle 218;21608;24449;21485;10970;5038;28688;3740;8928;11738;4854
1;Calle 219;17912;23061;19237;12294;5711;25932;4385;8855;12016;4744
1;Calle 220;26621;24853;20619;10812;4997;29131;4189;9777;13044;6091
1;Calle 221;19285;24256;20326;11530;5069;25373;4694;9193;10899;4023
1;Calle 222;19694;24886;18465;10949;4957;27376;4354;10581;11974;5585
1;Calle 223;20778;23989;21967;11276;5466;28322;4006;8634;11619;4773
1;Calle 224;20058;22421;18779;11656;5328;28268;3943;8499;11196;5603
1;Calle 225;23960;23514;16858;10102;2207;32401;3976;9112;11291;6090
1;Calle 226;19726;23348;19585;11365;5137;27794;4048;10455;11834;5163
1;Calle 227;20050;24569;20179;11183;5300;24440;4113;9799;11781;4918
1;Calle 228;19774;24311;20071;11881;4702;27997;4286;8638;10587;4914
1;Calle 229;22992;25064;19544;12255;4866;28477;4519;9360;13177;5147
1;Calle 230;19706;24164;17843;11395;5211;29592;3864;9810;11052;5138
1;Calle 231;20224;25731;18367;10491;5598;28892;3432;9406;10355;4691
1;Calle 232;20469;25498;21138;12678;5068;28668;3602;10436;11870;5053
1;Calle 233;21613;22011;20009;12394;4846;30492;4521;8921;11226;5312
1;Calle 234;18957;21587;19615;11281;4532;26595;4516;9882;11977;5511
1;Calle 235;21878;20574;20678;11483;5209;33265;3670;9598;10311;5137
1;Calle 236;20159;24174;19951;11312;5471;29237;4490;10025;10938;5494
1;Calle 237;19181;24763;21205;9940;4811;30456;3680;8143;11378;4646
1;Calle 238;21651;24629;19349;13467;4768;34108;4228;9085;11854;5500
1;Calle 239;21875;23329;19621;12379;5222;30431;4203;9388;12029;5564
1;Calle 240;20168;24110;20024;12062;6088;28691;4011;10078;10935;5016
1;Calle 241;22475;24244;16060;12360;5158;26142;4108;8732;10160;5049
1;Calle 242;20720;24237;24161;11624;5025;30920;3965;9738;11581;4901
1;Calle 243;20386;23751;20941;11880;4993;35167;3977;9879;11573;5457
1;Calle 244;20672;25090;19171;11802;5167;27537;4017;10785;11512;4989
1;Calle 245;20355;23427;18727;12083;4852;33603;3864;8886;12334;5684
1;Calle 246;20490;25352;20230;12378;3305;29935;4366;8231;11461;5246
1;Calle 247;17998;24584;19691;11611;5960;32254;4328;10344;10293;5090
1;Calle 248;19521;25942;18528;11921;5333;31721;3874;9724;12241;5665
1;Calle 249;21153;24843;20760;10866;5301;29536;3934;9792;10373;5171
1;Calle 250;19199;20678;19491;11878;5075;28579;3896;9580;11175;4921
1;Calle 251;18042;24221;17046;12475;5376;26331;3996;9383;10874;5218
1;Calle 252;20582;31394;21141;12346;5319;31147;3748;9342;12062;5103
1;Calle 253;19229;24882;19888;11624;2735;35013;3340;9311;11723;5978
1;Calle 254;20025;25596;19839;11287;4463;28784;4289;9437;11411;4836
1;Calle 255;21400;20707;20550;11275;5572;29859;4323;9708;12088;5646
1;Calle 256;22712;22187;21042;12010;4592;29585;4184;9027;11363;5149
1;Calle 257;20641;25237;19945;14615;5013;30631;3939;9519;12143;5001
1;Calle 258;18938;24997;20076;11173;4926;29271;4110;8890;10005;4917
1;Calle 259;20070;26728;19053;13125;4940;28398;4182;10193;11352;5346
1;Calle 260;21087;23940;19719;11488;5183;27644;4147;9409;11018;5078
1;Calle 261;19351;25086;17278;11331;5464;29357;4127;9809;8184;5539
1;Calle 262;18563;25521;19594;11442;5133;30704;4134;9173;10016;5293
1;Calle 263;21349;24465;18481;12425;5115;24721;4053;9700;11215;5336
1;Calle 264;20992;24545;18953;11830;5283;28458;4454;9903;12725;4875
1;Calle 265;19857;22467;17681;10841;5351;32246;4003;9256;7304;5268
1;Calle 266;19358;24266;19620;11100;5741;27575;3672;9240;11144;4788
1;Calle 267;22519;21613;21753;10816;5078;29150;4245;9655;11131;5254
1;Calle 268;21377;31247;23895;11716;5484;29768;4274;9040;10546;5522
1;Calle 269;16968;23877;20658;10418;5149;30313;4289;8849;11624;4464
1;Calle 270;22163;22278;19159;12862;5257;30556;3983;7509;11493;5393
1;Calle 271;21193;23413;18899;11697;5408;29629;4110;9291;9762;5260
1;Calle 272;22010;21383;18761;11099;5453;29079;4563;9204;12140;5224
1;Calle 273;22065;24350;19076;9460;5153;31428;4037;9616;11315;4752
1;Calle 274;18006;24740;22150;11923;5335;26774;3661;10254;11331;5932
1;Calle 275;23090;22323;19930;10386;4975;28290;4165;9163;11262;4298
1;Calle 276;20740;24777;18595;12018;5303;29946;3975;10542;11839;4969
1;Calle 277;21895;25871;19027;12259;4788;29251;4680;8937;11071;4974
1;Calle 278;21013;24005;18343;12112;5338;27012;3657;9347;11298;5152
1;Calle 279;22901;24398;19245;12041;5761;28154;3777;9449;11949;5440
1;Calle 280;20626;27732;19851;12066;5159;28496;4827;9760;11691;4868
1;Calle 281;20402;24581;17114;11839;5794;28866;4093;8858;6756;5548
1;Calle 282;21425;23076;20649;11697;5402;29667;3612;9044;12179;5291
1;Calle 283;21532;24208;18170;10219;4315;27202;4134;10499;11013;5173
1;Calle 284;20971;26815;19610;12505;4897;29685;4307;9429;11428;4771
1;Calle 285;18951;26813;19987;11474;5199;35798;4352;9690;10607;4972
1;Calle 286;20109;24578;19123;11033;5159;28871;4431;10327;11740;6164
1;Calle 287;22768;25158;19187;12919;5012;26778;4236;9187;11259;5394
1;Calle 288;19832;27652;24228;11328;5455;30108;3946;9547;11381;5283
1;Calle 289;22133;23664;20918;11780;4903;31807;3917;9658;10568;5348
1;Calle 290;20461;23891;20318;11901;4695;29440;3992;10418;10805;3925
1;Calle 291;21664;27007;19606;8975;4942;27000;4551;9420;9807;5528
1;Calle 292;20325;19345;21146;7579;4959;27516;4013;10457;11096;5066
1;Calle 293;18948;31114;20001;12709;4037;26320;3924;9304;10701;4849
1;Calle 294;20925;26220;21625;10886;5499;29162;3635;9694;12121;5198
1;Calle 295;20663;25336;20122;11482;5143;29362;4101;9136;10486;4833
1;Calle 296;19696;23086;20170;11253;5143;28424;3964;10795;12666;5493
1;Calle 297;23056;24369;20828;11570;5317;26089;3961;10576;12391;5344
1;Calle 298;21858;23194;17693;12394;5127;29372;3747;10300;10187;5573
1;Calle 299;19595;24412;19109;11672;5245;28523;4239;8736;9656;4912
1;Calle 300;21470;25012;19822;10818;5142;30332;3847;8061;11344;5274
1;Calle 301;18898;24146;21079;10971;5288;28283;3984;9222;11609;5726
1;Calle 302;18659;22285;20965;11690;5370;29127;3773;9536;11104;5059
1;Calle 303;19570;21621;20897;13119;5761;29058;4315;9096;11520;5238
1;Calle 304;25725;24932;18256;14085;5338;31417;4004;9732;12450;5434
1;Calle 305;20564;23594;19197;11105;4682;27888;3369;9520;10591;5061
1;Calle 306;18246;25397;22255;12146;4943;25331;4138;9609;11495;5052
1;Calle 307;21298;25880;18797;11145;4758;30602;4248;9472;9836;5182
1;Calle 308;18977;23864;20945;13199;5368;29040;3805;9739;10415;4693
1;Calle 309;19779;21727;21324;11877;4762;27033;3835;9265;11423;5384
1;Calle 310;21654;23686;20528;12402;5446;30631;3970;9376;10498;5192
1;Calle 311;19073;24467;20877;11218;5050;33916;3958;9313;9895;4834
1;Calle 312;21375;23904;19722;11076;4680;26000;4111;9570;11752;5343
1;Calle 313;20380;25402;19911;11972;5374;29801;3822;9475;10250;5310
1;Calle 314;21110;21455;20241;11771;4958;32383;4037;9154;11964;5478
1;Calle 315;19196;24602;21491;12179;5179;35898;3959;9822;10688;5177
1;Calle 316;23001;25341;21769;10489;4408;26828;4508;10614;9608;5677
1;Calle 317;20520;22436;19297;10172;4941;28085;3397;9781;13548;5073
1;Calle 318;19983;25099;21447;9482;5166;28810;4104;10312;10872;5162
1;Calle 319;21560;24331;19721;12051;5165;27929;4298;10329;11094;5364
1;Calle 320;20947;24865;19352;11902;5154;30429;4210;9649;11801;5331
1;Calle 321;20922;18788;21848;11169;5411;28216;3716;8839;10944;5219
1;Calle 322;20238;22562;17906;11262;5365;29462;4096;9446;11902;4723
1;Calle 323;19736;24935;21419;11226;5603;28539;4167;9515;11585;4763
1;Calle 324;22420;22868;19142;12084;4876;30732;3889;10983;12169;4783
1;Calle 325;20184;24765;20671;11230;5233;26335;4244;10107;11116;5132
1;Calle 326;20807;23851;19328;10797;6352;28384;5041;9373;10855;5170
1;Calle 327;22536;22392;17595;10731;4929;27826;3941;9335;10475;5593
1;Calle 328;21316;26862;19695;11498;5226;29758;4442;9667;10741;5204
1;Calle 329;18718;25063;20543;12494;4829;29814;4713;10511;11499;5658
1;Calle 330;20378;22224;17773;12217;5492;29628;3963;10646;9698;5233
1;Calle 331;20513;25847;19382;11959;5032;15389;4040;11031;11299;4989
1;Calle 332;21775;27667;21712;11634;4397;28761;4323;10910;11229;5721
1;Calle 333;21210;22493;18730;12029;4940;27833;3547;9649;10878;5033
1;Calle 334;20622;24643;20550;12910;4613;31408;3881;10117;10827;5393
1;Calle 335;18485;25512;17064;12771;4895;27934;4343;9291;11550;5043
1;Calle 336;21132;24059;19411;12349;4558;28908;3819;9903;11413;5201
1;Calle 337;22395;23761;19277;11040;5862;28273;5188;9896;12325;4740
1;Calle 338;20339;25392;18784;11573;5141;29224;4044;9064;10855;5069
1;Calle 339;19690;25597;18984;11793;5323;33601;4147;9203;11736;5419
1;Calle 340;21072;26296;20739;13373;5273;27445;4265;9574;13765;4644
1;Calle 341;19709;24158;18816;13901;5259;31697;3682;9566;11129;5872
1;Calle 342;21916;24513;21370;11026;4975;26356;4220;9780;11401;5342
1;Calle 343;22370;22998;21315;13001;5136;26478;4218;10883;11473;4923
1;Calle 344;20440;27149;19595;7799;4993;28050;3743;9675;11682;4347
1;Calle 345;21075;26773;19024;12462;5084;33727;3961;9505;11030;5765
1;Calle 346;19686;23190;17706;11677;5393;27256;4152;9318;12332;5253
1;Calle 347;20207;24733;20201;10324;4932;29776;4235;9764;11570;5328
1;Calle 348;20026;21818;19552;14143;4845;31247;3796;9131;9432;4924
1;Calle 349;20590;24544;18904;12167;5513;27200;4122;9451;10643;5300
1;Calle 350;19539;20380;19559;10719;6645;27484;4055;9362;11713;5600
1;Calle 351;20378;21560;19854;12032;5265;29866;3991;9761;11086;6006
1;Calle 352;21475;22965;20816;11011;5051;25785;4004;11058;10919;5183
1;Calle 353;21087;26706;19902;9079;4549;32657;3942;9619;11221;4968
1;Calle 354;20378;24918;19541;11596;5092;28064;3843;8390;11295;4881
1;Calle 355;22310;32494;18723;10955;3957;30689;4786;9491;10471;4745
1;Calle 356;21637;23444;19774;12698;4569;27685;3998;9521;11745;5361
1;Calle 357;19774;24620;18865;12611;5242;27980;3859;10031;11106;5804
1;Calle 358;22233;24083;19007;12183;5157;31919;3829;8759;10731;5063
1;Calle 359;21762;23961;19070;11069;4933;29816;4265;10504;11542;5046
1;Calle 360;25118;22377;19444;11695;4946;31907;4151;8373;11177;4839
1;Calle 361;21223;25170;19525;10856;4694;31071;4082;9157;11866;4794
1;Calle 362;37859;23190;18435;11696;4547;28417;4019;9488;11151;5270
1;Calle 363;21027;24664;20439;11831;4856;29683;4412;9905;11576;4878
1;Calle 364;19932;24414;20532;11608;4922;29194;4099;9029;11088;5913
1;Calle 365;21724;23304;15707;12251;4273;28704;3970;9681;12912;6317
